feature,importance
number_inpatient,0.15479855879462823
utilization_total,0.14962332132328848
medical_specialty_Unknown,0.14091057975761545
payer_code_MC,0.13619390763183747
medical_specialty_InternalMedicine,0.13337700622338677
medical_specialty_Cardiology,0.1320668195217818
num_lab_procedures,0.13108417949557805
admission_source_id,0.13108417949557805
discharge_disposition_id,0.13088765149033732
payer_code_Unknown,0.1301015394693743
insulin_Up,0.12951195545365213
num_medications,0.1294464461185718
number_outpatient,0.12905339010809036
time_in_hospital,0.12846380609236818
age_midpoint,0.12839829675728787
payer_code_HM,0.12800524074680641
num_procedures,0.12767769407140517
number_diagnoses,0.12735014739600392
medical_specialty_Family/GeneralPractice,0.1272191287258434
number_emergency,0.12702260072060267
medical_specialty_Surgery-General,0.12695709138552236
medical_specialty_Emergency/Trauma,0.12676056338028163
insulin_No,0.12603996069439893
payer_code_CP,0.1259089420242384
payer_code_SP,0.1259089420242384
age_[90-100),0.1259089420242384
medical_specialty_Radiologist,0.12564690468391737
medical_specialty_Surgery-Cardiovascular/Thoracic,0.12558139534883717
age_[70-80),0.12551588601375696
insulin_Steady,0.12545037667867664
payer_code_MD,0.12531935800851624
admission_type_id,0.1250573206681952
medical_specialty_Psychiatry,0.1250573206681952
medical_specialty_Pulmonology,0.1250573206681952
medical_specialty_Orthopedics,0.12499181133311499
A1Cresult_>8,0.12486079266295447
medical_specialty_Nephrology,0.12486079266295447
age_[60-70),0.12472977399279395
payer_code_BC,0.12472977399279395
medical_specialty_ObstetricsandGynecology,0.12466426465771374
max_glu_serum_Norm,0.12459875532263343
medical_specialty_Oncology,0.12459875532263343
medical_specialty_Surgery-Vascular,0.1244022273173927
medical_specialty_Surgery-Cardiovascular,0.1244022273173927
medical_specialty_PhysicalMedicineandRehabilitation,0.1244022273173927
payer_code_DM,0.1244022273173927
medical_specialty_Hematology/Oncology,0.1244022273173927
medical_specialty_Endocrinology,0.1243367179823125
payer_code_UN,0.1243367179823125
medical_specialty_Gastroenterology,0.1243367179823125
payer_code_CM,0.1243367179823125
medical_specialty_Pediatrics,0.1243367179823125
max_glu_serum_None,0.1243367179823125
medical_specialty_Orthopedics-Reconstructive,0.1243367179823125
medical_specialty_Urology,0.12427120864723218
medical_specialty_Surgery-Neuro,0.12414018997707166
medical_specialty_Podiatry,0.12414018997707166
medical_specialty_Psychology,0.12414018997707166
race_Hispanic,0.12414018997707166
payer_code_MP,0.12414018997707166
medical_specialty_Hematology,0.12414018997707166
max_glu_serum_>200,0.12407468064199145
medical_specialty_Neurology,0.12407468064199145
A1Cresult_None,0.12400917130691125
age_[40-50),0.12394366197183093
payer_code_SI,0.12394366197183093
race_Asian,0.12394366197183093
race_Caucasian,0.12387815263675073
medical_specialty_Surgery-Thoracic,0.12387815263675073
payer_code_PO,0.12381264330167041
medical_specialty_OutreachServices,0.12381264330167041
medical_specialty_Osteopath,0.12381264330167041
medical_specialty_Surgeon,0.12381264330167041
medical_specialty_Ophthalmology,0.12381264330167041
medical_specialty_SurgicalSpecialty,0.12381264330167041
A1Cresult_>7,0.12381264330167041
medical_specialty_Pediatrics-Hematology-Oncology,0.1237471339665902
medical_specialty_Radiology,0.1237471339665902
medical_specialty_Obsterics&Gynecology-GynecologicOnco,0.1237471339665902
medical_specialty_Dentistry,0.1237471339665902
medical_specialty_Psychiatry-Child/Adolescent,0.1237471339665902
medical_specialty_Hospitalist,0.1237471339665902
medical_specialty_Anesthesiology-Pediatric,0.1237471339665902
medical_specialty_Otolaryngology,0.12368162463151
medical_specialty_Pediatrics-InfectiousDiseases,0.12368162463151
medical_specialty_Speech,0.12368162463151
medical_specialty_Proctology,0.12368162463151
medical_specialty_PhysicianNotFound,0.12368162463151
medical_specialty_Resident,0.12368162463151
medical_specialty_Rheumatology,0.12368162463151
medical_specialty_Dermatology,0.12368162463151
medical_specialty_DCPTEAM,0.12368162463151
payer_code_FR,0.12368162463151
payer_code_CH,0.12368162463151
medical_specialty_Endocrinology-Metabolism,0.12368162463151
medical_specialty_Obstetrics,0.12368162463151
medical_specialty_Neurophysiology,0.12368162463151
medical_specialty_Gynecology,0.12368162463151
payer_code_WC,0.12368162463151
medical_specialty_AllergyandImmunology,0.12368162463151
medical_specialty_Pediatrics-EmergencyMedicine,0.12368162463151
medical_specialty_Pediatrics-AllergyandImmunology,0.12368162463151
medical_specialty_Pediatrics-Neurology,0.12368162463151
medical_specialty_Pediatrics-Endocrinology,0.12368162463151
medical_specialty_Psychiatry-Addictive,0.12368162463151
medical_specialty_Perinatology,0.12368162463151
medical_specialty_Surgery-Maxillofacial,0.12368162463151
medical_specialty_Surgery-PlasticwithinHeadandNeck,0.12368162463151
medical_specialty_Surgery-Plastic,0.12368162463151
medical_specialty_SportsMedicine,0.12368162463151
medical_specialty_Pediatrics-Pulmonology,0.12361611529642968
medical_specialty_Pediatrics-CriticalCare,0.12361611529642968
medical_specialty_Pathology,0.12361611529642968
medical_specialty_Surgery-Colon&Rectal,0.12361611529642968
medical_specialty_Surgery-Pediatric,0.12361611529642968
medical_specialty_InfectiousDiseases,0.12361611529642968
medical_specialty_Anesthesiology,0.12361611529642968
medical_specialty_Cardiology-Pediatric,0.12361611529642968
payer_code_OG,0.12355060596134948
payer_code_OT,0.12355060596134948
age_[10-20),0.12341958729118896
age_[80-90),0.12341958729118896
age_[0-10),0.12335407795610875
max_glu_serum_>300,0.12335407795610875
age_[50-60),0.12315754995086792
insulin_Down,0.12289551261054699
race_Other,0.12269898460530626
A1Cresult_Norm,0.12263347527022594
race_Unknown,0.12256796593514574
race_AfricanAmerican,0.12217490992466429
gender_Female,0.12217490992466429
age_[20-30),0.12210940058958397
gender_Male,0.12204389125450377
age_[30-40),0.12178185391418272
diabetesMed_Yes,0.12178185391418272
diabetesMed_No,0.12138879790370127
change_Ch,0.12001310186701597
change_No,0.11942351785129379
